"team","eventname","score_change","score","event","ranking","region"
"Triumph","spr_reg3",0,0,11,34,"apacn"
"Triumph","spr_maj",0,0,12,34,"apacn"
"NOVEL FRONTIER","fall_reg1",40,40,1,16,"apacn"
"NOVEL FRONTIER","fall_reg2",70,110,2,14,"apacn"
"NOVEL FRONTIER","fall_reg3",70,180,3,11,"apacn"
"NOVEL FRONTIER","fall_maj",0,180,4,11,"apacn"
"NOVEL FRONTIER","win_reg1",0,180,5,12,"apacn"
"NOVEL FRONTIER","win_reg2",0,180,6,13,"apacn"
"NOVEL FRONTIER","win_reg3",0,180,7,16,"apacn"
"NOVEL FRONTIER","win_maj",0,180,8,16,"apacn"
"NOVEL FRONTIER","spr_reg1",0,180,9,17,"apacn"
"NOVEL FRONTIER","spr_reg2",0,180,10,16,"apacn"
"NOVEL FRONTIER","spr_reg3",0,180,11,16,"apacn"
"NOVEL FRONTIER","spr_maj",0,180,12,16,"apacn"
